January 2002	2819847	341458
December 2001	2720503	326545
November 2001	2651419	322595
October 2001	2540267	293633
September 2001	2899420	281192
August 2001	2823060	283180
July 2001	2936558	281471
June 2001	2802093	273827
May 2001	2475367	265466
April 2001	2482288	256862
March 2001	2298821	244201
February 2001	2203353	230502
January 2001	2001011	225123
December 2000	1811864	214467
November 2000	1524620	197931
October 2000	1597399	183327
September 2000	1508381	170758
August 2000	1476602	152073
July 2000	1286714	132940
June 2000	1080206	123008
May 2000	852675	108327
April 2000	736805	95994
March 2000	612425	85749
February 2000	478614	74515
January 2000	418742	66239
December 1999	411008	63993
November 1999	384018	60116
October 1999	342285	55688
September 1999	282232	50334
August 1999	248925	51413
July 1999	202081	42183
June 1999	183793	40484 
May 1999	156458	36976
April 1999	134255	32570
March 1999	112399	28482
February 1999	103088	25854
January 1999	81982	23742
December 1998	72545	22598
November 1998	63692	19239
October 1998	64171	15055
September 1998	57365	12540
August 1998	54450	12438
July 1998	47068	9904
June 1998	42508	9237
May 1998	39535	8682
April 1998	33696	6980
March 1998	30075	6439
February 1998	25343	5607
January 1998	16591	4343
December 1997	14624	3814
November 1997	13303	3431
October 1997	12654	3045
September 1997	7165	2256
August 1997	1501	1228
July 1997	1138	580
June 1997	312	239

